status_id,status_message,status_author,link_name,status_type,status_link,permalink_url,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
558429457587216_1213995958697226,,Farnell Newton,,photo,https://www.facebook.com/photo.php?fbid=734699760016409&set=gm.1213995958697226&type=3,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1213995958697226/,1/3/2017 21:17,152,6,1,145,6,1,0,0,0
558429457587216_1226984014065087,Alone together - practise pedal sounds like Rhodes yayyyyyyy,Elliott Sansom,,video,https://www.facebook.com/10203243900200252/videos/10208059257261169,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1226984014065087/,1/18/2017 09:42,22,0,1,20,2,0,0,0,0
558429457587216_1226909070739248,"""Alone Together"" a little bit inspired by Art Tatum. My pianos even out of tune like the old recordings LOL! If only I had time to tune it I'm too busy doing other things but I hope you enjoy. Please let me know what you think in the comments below.

#farnellistheman
#everybodydigsjamoftheweek",Steve Myerson,,video,https://www.facebook.com/10153422153677306/videos/10155694560322306,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1226909070739248/,1/18/2017 08:12,4,0,1,4,0,0,0,0,0
558429457587216_1226351100795045,Alone together! Well I'm alone rn lol. Enjoy!,Rich Bomzer,,video,https://www.facebook.com/10206493954980064/videos/10210189958497842,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1226351100795045/,1/17/2017 15:13,49,5,2,47,2,0,0,0,0
558429457587216_1226779047418917,"Quick chorus on Alone Together, C&C welcome! #jamoftheweek",Zak Scerri,,video,https://www.facebook.com/10153297202049469/videos/10154928757759469,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1226779047418917/,1/18/2017 04:25,21,2,0,21,0,0,0,0,0
558429457587216_1226461367450685,Week 157 - Alone Together,Shan Arsenault,,video,https://www.facebook.com/731520666930779/videos/1184347128314795,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1226461367450685/,1/17/2017 18:45,40,5,0,38,2,0,0,0,0
558429457587216_1226503190779836,"JOTW: ""Alone Together""  C&C welcome. Thanks always for listening.",Joel Bennett,,video,https://www.facebook.com/10152371495683743/videos/10154523045278743,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1226503190779836/,1/17/2017 20:02,10,1,0,9,1,0,0,0,0
558429457587216_971348439628647,First post; be gentle but C&C definitely wanted. #jamoftheweek  #moodysmood,Joe Shapiro,,video,https://www.facebook.com/10204480777452709/videos/10207756974835596,https://www.facebook.com/groups/jamoftheweekgroup/permalink/971348439628647/,3/22/2016 19:11,20,7,0,20,0,0,0,0,0
558429457587216_1226679737428848,"First time posting! Practicing tone, control, and blending.",Matt Vollmer,Matt Vollmer Music,video,https://www.facebook.com/mattvollmermusic/videos/1349985461720307/,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1226679737428848/,1/18/2017 01:24,10,0,0,10,0,0,0,0,0
558429457587216_1226508824112606,"Real quick one on ""Alone Together"". Been working on playing without a pick. #firsttake #jamoftheweek #farnellisdaman",Avery Lucas Scanlon,,video,https://www.facebook.com/849251525096397/videos/1348943611793850,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1226508824112606/,1/17/2017 20:08,26,3,1,26,0,0,0,0,0
558429457587216_1221642257932596,Great tune! Thanks #JOTW,Mike Clement,,video,https://www.facebook.com/10153481493870110/videos/10155405382660110,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1221642257932596/,1/12/2017 16:29,61,5,2,58,3,0,0,0,0
558429457587216_1226537900776365,#JOTW That standard with the kind of Ayn-Randy lyrics.,Alan Edwards,,video,https://www.facebook.com/703478836400699/videos/1229343943814183,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1226537900776365/,1/17/2017 20:59,3,0,0,3,0,0,0,0,0
558429457587216_1226497110780444,"The voters are correct.   This tune can, should and will get played at any jam session, that merely lasts long enough!",Russell Kerschner,,video,https://www.facebook.com/10209908540091149/videos/10212028808136525,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1226497110780444/,1/17/2017 19:51,34,1,1,31,3,0,0,0,0
558429457587216_1226519260778229,"Rubato take on Alone Together done over a D pedal. Comments and critiques are welcome. 
#jotw #bass #alonetogether",Sean Riddle,,video,https://www.facebook.com/522261694592263/videos/760988244052939,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1226519260778229/,1/17/2017 20:26,16,0,0,13,3,0,0,0,0
558429457587216_1226375327459289,"https://youtu.be/vxkgD8ryc4s

Voice/Piano duet on Alone Together :) 

Not sure if previously recorded versions are allowed but thought I'd post anyways! 

C&C welcome :)",Luca Manning,Alone Together - Luca Manning & Alan Benzie,video,https://youtu.be/vxkgD8ryc4s,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1226375327459289/,1/17/2017 16:02,12,4,0,10,2,0,0,0,0
558429457587216_1226483967448425,"Alone Together, Bossa Nova Style

One time through on the trumpet, Jam of the Week #157, #JamOfTheWeek.",Michael Grasso,Alone Together - Trumpet - Jam Of The Week,video,https://www.youtube.com/watch?v=xeJ4hVPe6xg,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1226483967448425/,1/17/2017 19:30,4,0,0,4,0,0,0,0,0
558429457587216_1226357564127732,Alone together... just a boy and his bass 😉,Stuart Coles,,video,https://www.facebook.com/848005231959515/videos/1283415125085188,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1226357564127732/,1/17/2017 15:27,35,3,0,34,1,0,0,0,0
558429457587216_1226361747460647,"Alone Together Jam of the week 
C & C always welcome 😀
",Axel Moser,Alone together Cover,video,https://youtu.be/61Fgx0FFToU,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1226361747460647/,1/17/2017 15:36,9,1,0,9,0,0,0,0,0
558429457587216_1226402904123198,Thanks for including ...,Ron Hutchison,,status,,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1226402904123198/,1/17/2017 16:56,0,0,0,0,0,0,0,0,0
558429457587216_1226397827457039,#jotw#Alonetogether #afterskiwarmup  #sayhello #goodnight,Peter Holmqvist,,video,https://www.facebook.com/10152478647807691/videos/10154030571407691,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1226397827457039/,1/17/2017 16:45,26,0,0,25,0,1,0,0,0
